year,country,survival,children,population
1960,Belarus,0.9578,2.743,8190006
1960,Barbados,0.9123,4.33,230831
1960,Bangladesh,0.7489,6.72,50101943
1960,Bahrain,0.8034,7.09,161825
1960,Bahamas,0.932691016,4.5,109527
1960,Austria,0.9574,2.69,7042634
1960,Australia,0.9751,3.451,10286184
1960,Argentina,0.926,3.11,20625451
1960,Angola,0.66173688,7.32,4963068
1960,Algeria,0.7519,7.33,10799997
1960,Albania,0.8256936167,5.95,1610565
1960,Afghanistan,0.6414,7.7,9671046
1961,Zimbabwe,0.8493,7.22,3876616
1961,Zambia,0.7938,7.07,3134831
1961,Venezuela,0.9185,6.64,7852680
1961,Vanuatu,0.8462,7.12,65709
1961,Uruguay,0.9384,2.89,2571134
1961,United States,0.9705,3.5,189192675
1961,United Kingdom,0.974,2.75,52895303
1961,United Arab Emirates,0.8215,6.91,97936
1961,Ukraine,0.96859,2.36,43316039
1961,Uganda,0.7823,7.02,7006823
1961,Turkey,0.7812,6.09,28894367
1961,Tunisia,0.7357,7.22,4297441
1961,Trinidad and Tobago,0.9348,5.14,856289
1961,Tonga,0.942,7.35,63741
1961,Togo,0.7367,6.57,1593657
1961,Thailand,0.8578,6.15,28149653
1961,Tanzania,0.7621,6.81,10373274
1961,Taiwan,0.96130642,5.59,11563000
1961,Syria,0.8143,7.5,4716875
1961,Switzerland,0.9742,2.55,5393334
1961,Sweden,0.9811,2.31,7526139
1961,Swaziland,0.7867,6.73,357459
1961,Sudan,0.8033,6.62,11838481
1961,Sri Lanka,0.8935,5.421,10248471
1961,Spain,0.948,2.79,30731163
1961,Solomon Islands,0.8444,6.39,129642
1961,Slovak Republic,0.96733,3.01,4151408
1961,Singapore,0.9553,5.308,1690329
1961,Sierra Leone,0.6104,6.04,2222029
1961,Senegal,0.6931,6.72,3130743
1961,Sao Tome and Principe,0.8715,6.26,64564
1961,Rwanda,0.7946,8.16,2855692
1961,Russia,0.95843,2.66,121468992
1961,Romania,0.9142,2.18,18533445
1961,Portugal,0.8928,3.18,8907640
1961,Poland,0.9391,2.85,29436954
1961,Philippines,0.9039,7.09,26893021
1961,Peru,0.7727,6.87,10216429
1961,Paraguay,0.9125,6.49,1956714
1961,Papua New Guinea,0.8044,6.28,2001049
1961,Panama,0.9042,5.94,1161708
1961,Pakistan,0.7915,6.6,47033454
1961,Oman,0.6895,7.25,570581
1961,Norway,0.9779,2.91,3609745
1961,Nicaragua,0.8079,7.26,1828750
1961,New Zealand,0.9732,3.61398,2423770
1961,Netherlands,0.9797,3.22,11575478
1961,Nepal,0.7015,6.1,9917687
1961,Morocco,0.7842,7.17,11947688
1961,Mexico,0.8606,6.78,39684127
1961,Mauritius,0.9019,6.18,678408
1961,Mauritania,0.7406,6.79,878589
1961,Malta,0.9599,3.38,311724
1961,Mali,0.5592,6.73,5314146
1961,Maldives,0.6041,7.08,92526
1961,Malaysia,0.9082,6.28,8428536
1961,Malawi,0.6386,6.94,3607612
1961,Luxembourg,0.96777,2.38,317204
1961,Lithuania,0.95881,2.48,2806938
1961,Libya,0.7512,7.1,1399552
1961,Liberia,0.6865,6.43,1142713
1961,Lesotho,0.808,5.83,866469
1961,Lebanon,0.9278,5.72,1967434
1961,Latvia,0.97112,1.88,2158063
1961,Kuwait,0.8859,7.28,296442
1961,Kenya,0.8046,8.0,8361428
1961,Jordan,0.8402,7.8,935159
1961,Japan,0.964,1.98,93357272
1961,Jamaica,0.9203,5.53,1652348
1961,Italy,0.9504,2.41,49865553
1961,Ireland,0.9661,3.93,2828481
1961,Iraq,0.7984,6.36,7570069
1961,Iran,0.7413,6.94,22571865
1961,Indonesia,0.788,5.66,94225771
1961,India,0.7667,5.86,456949783
1961,Iceland,0.9793,4.03,179476
1961,Hungary,0.9425,1.9,10010165
1961,Honduras,0.7967,7.448,2066098
1961,Guyana,0.9067,6.37,575863
1961,Guinea,0.6738,6.43,3592879
1961,Guatemala,0.7931,6.51,4273585
1961,Greece,0.9461,2.22,8386326
1961,Ghana,0.7855,6.79,6958364
1961,Gambia,0.6341,5.62,382164
1961,France,0.9727,2.81,46280695
1961,Finland,0.9746,2.65,4463165
1961,Fiji,0.9274,6.28,407137
1961,Estonia,0.96677,1.946,1229668
1961,El Salvador,0.8154,6.75,2859302
1961,Egypt,0.7039,6.62,28648825
1961,Ecuador,0.8334,6.72,4570153
1961,Denmark,0.9758,2.547,4612789
1961,Cuba,0.9502,4.36,7281821
1961,Costa Rica,0.8834,7.3,1381414
1961,"Congo, Rep.",0.8299,5.92,1039961
1961,Colombia,0.8627,6.8,16487391
1961,China,0.7381310689,5.52,667084365
1961,Chile,0.8485,5.54,7848372
1961,Canada,0.9685,3.809,18284009
1961,Burundi,0.7479,6.8,2992893
1961,Burkina Faso,0.6678,6.32,4956921
1961,Bulgaria,0.95388,2.19,7939132
1961,Brazil,0.8292,6.19,74975656
1961,Botswana,0.8343,6.63,536540
1961,Bolivia,0.7154,6.67,3430160
1961,Benin,0.7024,6.34,2451123
1961,Belgium,0.9673,2.62,9211920
1961,Belarus,0.96406,2.726,8274466
1961,Barbados,0.918,4.31,231574
1961,Bangladesh,0.7507,6.76,51531438
1961,Bahrain,0.8196,7.13,167179
1961,Austria,0.9596,2.738,7080528
1961,Australia,0.9757,3.548,10493531
1961,Argentina,0.9268,3.1,20961000
1961,Algeria,0.7597,7.35,11006643
1961,Albania,0.8337308617,5.89,1661158
1961,Afghanistan,0.6464,7.7,9859928
1962,Zimbabwe,0.8526,7.27,4006236
1962,Zambia,0.7971,7.13,3229329
1962,Venezuela,0.9209,6.63,8150542
1962,Vanuatu,0.8533,7.03,67806
1962,Uruguay,0.9392,2.89,2603317
1962,United States,0.9711,3.38,191953977
1962,United Kingdom,0.9746,2.79,53264855
1962,United Arab Emirates,0.8339,6.89,108927
1962,Ukraine,0.96865,2.26,43847188
1962,Uganda,0.7849,7.04,7240764
1962,Turkey,0.7817,6.06,29633591
1962,Tunisia,0.7462,7.23,4375959
1962,Trinidad and Tobago,0.9361,5.01,866959
1962,Tonga,0.9437,7.3,66257
1962,Togo,0.7425,6.62,1607735
1962,Thailand,0.8636,6.16,29016942
1962,Tanzania,0.7655,6.8,10683638
1962,Syria,0.8223,7.52,4872506
1962,Switzerland,0.975,2.58,5502915
1962,Sweden,0.9817,2.31,7573556
1962,Swaziland,0.7909,6.75,365645
1962,Sudan,0.8086,6.61,12122336
1962,Sri Lanka,0.8972,5.299,10480484
1962,Spain,0.9511,2.8,31067664
1962,Solomon Islands,0.8518,6.38,133007
1962,Slovak Republic,0.97005,2.94,4205808
1962,Singapore,0.9583,5.048,1742448
1962,Sierra Leone,0.6088,6.04,2257946
1962,Senegal,0.6971,6.81,3217043
1962,Sao Tome and Principe,0.8728,6.28,64474
1962,Rwanda,0.7936,8.15,2942908
1962,Russia,0.95983,2.57,122970547
1962,Romania,0.9172,2.16,18640463
1962,Portugal,0.8979,3.19,8925989
1962,Poland,0.9434,2.72,29871931
1962,Philippines,0.9047,7.02,27800656
1962,Peru,0.7805,6.86,10515695
1962,Paraguay,0.9143,6.47,2009165
1962,Papua New Guinea,0.8103,6.28,2037162
1962,Panama,0.9083,5.93,1196016
1962,Pakistan,0.7963,6.6,48198347
1962,Oman,0.7038,7.25,584427
1962,Norway,0.9785,2.89,3637730
1962,Nicaragua,0.8119,7.18,1885094
1962,New Zealand,0.9742,3.50678,2477327
1962,Netherlands,0.9802,3.18,11734901
1962,Nepal,0.7072,6.1,10102057
1962,Morocco,0.7879,7.16,12275060
1962,Mexico,0.8646,6.77,40966751
1962,Mauritius,0.9057,6.12,697738
1962,Mauritania,0.7438,6.79,903773
1962,Malta,0.9616,3.2,310249
1962,Mali,0.5669,6.75,5381485
1962,Maldives,0.6205,7.12,95115
1962,Malaysia,0.913,6.21,8709925
1962,Malawi,0.6417,6.98,3694022
1962,Luxembourg,0.96406,2.39,320992
1962,Lithuania,0.95886,2.43,2846474
1962,Libya,0.7688,7.16,1451196
1962,Liberia,0.6908,6.45,1170708
1962,Lesotho,0.8105,5.82,882163
